id,task,day,employee,complexity,clarity,time,train
id0,d,e,h,0.823,0.417,271.526,1
id1,d,c,j,0.798,0.356,,0
id2,f,e,j,0.702,0.582,244.502,1
id3,d,b,a,0.915,0.509,,0
id4,f,e,j,0.762,0.459,,0
id5,f,c,e,0.103,0.488,117.936,1
id6,c,c,b,0.265,0.5,132.805,1
id7,e,e,g,0.619,0.309,434.088,1
id8,c,b,g,0.445,0.469,168.431,1
id9,b,c,a,0.559,0.608,,0
id10,c,b,e,0.591,0.589,160.367,1
id11,b,e,b,0.281,0.57,,0
id12,c,a,a,0.555,0.509,,0
id13,g,a,j,0.615,0.551,313.853,1
id14,b,a,i,0.755,0.419,410.391,1
id15,f,a,g,0.683,0.521,,0
id16,c,b,c,0.288,0.563,204.131,1
id17,d,b,f,0.628,0.566,331.497,1
id18,c,e,i,0.6,0.518,,0
id19,g,d,g,0.273,0.648,277.782,1
id20,e,b,f,0.612,0.642,217.631,1
id21,b,a,h,0.648,0.537,292.595,1
id22,d,d,e,0.238,0.735,,0
id23,c,a,c,0.07,0.577,,0
id24,e,d,j,0.782,0.406,354.382,1
id25,b,e,h,0.464,0.585,275.409,1
id26,d,a,d,0.716,0.664,201.531,1
id27,g,a,a,0.202,0.78,285.557,1
id28,g,c,f,0.633,0.464,,0
id29,a,a,j,0.807,0.517,,0
id30,d,d,h,0.137,0.564,,0
id31,d,a,f,0.732,0.459,,0
id32,a,c,i,0.229,0.791,,0
id33,a,a,c,0.828,0.405,350.279,1
id34,e,e,i,0.662,0.52,,0
id35,g,a,a,0.302,0.462,,0
id36,d,e,g,0.297,0.682,200.944,1
id37,d,b,d,0.794,0.556,,0
id38,g,c,h,0.552,0.585,338.558,1
id39,c,b,f,0.09,0.589,159.764,1
id40,b,a,e,0.382,0.272,,0
id41,a,e,g,0.985,0.425,,0
id42,c,d,i,0.156,0.546,172.073,1
id43,b,c,g,0.247,0.687,,0
id44,e,b,b,0.446,0.439,,0
id45,g,c,i,0.746,0.388,331.791,1
id46,d,a,e,0.623,0.525,,0
id47,g,c,i,0.431,0.487,,0
id48,f,c,i,0.295,0.459,,0
id49,g,b,c,0.312,0.583,322.835,1
id50,g,e,f,0.229,0.611,,0
id51,b,c,j,0.422,0.583,283.363,1
id52,c,d,c,0.368,0.581,193.062,1
id53,b,e,h,0.857,0.472,,0
id54,f,d,e,0.686,0.394,192.121,1
id55,c,e,i,0.523,0.399,148.756,1
id56,f,d,c,0.589,0.326,,0
id57,e,d,f,0.903,0.575,232.51,1
id58,f,b,a,0.697,0.449,,0
id59,e,b,j,0.292,0.5,208.472,1
id60,h,c,a,0.68,0.539,,0
id61,e,b,g,0.844,0.422,266.528,1
id62,f,e,j,0.822,0.385,300.35,1
id63,c,a,i,0.497,0.45,153.475,1
id64,b,e,d,0.527,0.597,,0
id65,d,e,c,0.359,0.678,363.119,1
id66,e,c,f,0.401,0.495,,0
id67,h,d,c,0.058,0.582,251.949,1
id68,d,e,g,0.767,0.357,373.883,1
id69,e,c,d,0.323,0.576,177.253,1
id70,d,b,f,0.627,0.506,,0
id71,c,e,i,0.345,0.575,212.619,1
id72,d,e,e,0.939,0.507,,0
id73,e,b,i,0.803,0.328,224.252,1
id74,g,d,a,0.489,0.457,175.548,1
id75,b,e,g,0.23,0.62,,0
id76,b,e,f,0.963,0.499,,0
id77,c,b,d,0.191,0.433,121.905,1
id78,d,b,c,0.414,0.718,210.362,1
id79,d,c,i,0.808,0.327,208.297,1
id80,e,a,i,0.59,0.445,,0
